parent,child,parents,full
School,Music School,root|Professional & Other Places|School,root|Professional & Other Places|School|Music School
School,Language School,root|Professional & Other Places|School,root|Professional & Other Places|School|Language School
School,Elementary School,root|Professional & Other Places|School,root|Professional & Other Places|School|Elementary School
School,Swim School,root|Professional & Other Places|School,root|Professional & Other Places|School|Swim School
School,Preschool,root|Professional & Other Places|School,root|Professional & Other Places|School|Preschool
School,Nursery School,root|Professional & Other Places|School,root|Professional & Other Places|School|Nursery School
School,Driving School,root|Professional & Other Places|School,root|Professional & Other Places|School|Driving School
School,Adult Education Center,root|Professional & Other Places|School,root|Professional & Other Places|School|Adult Education Center
School,Circus School,root|Professional & Other Places|School,root|Professional & Other Places|School|Circus School
School,Flight School,root|Professional & Other Places|School,root|Professional & Other Places|School|Flight School
Professional & Other Places,Observatory,root|Professional & Other Places,root|Professional & Other Places|Observatory
Professional & Other Places,Spiritual Center,root|Professional & Other Places,root|Professional & Other Places|Spiritual Center
Spiritual Center,Kingdom Hall,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Kingdom Hall
Spiritual Center,Synagogue,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Synagogue
Spiritual Center,Confucian Temple,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Confucian Temple
Spiritual Center,Church,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Church
Spiritual Center,Mosque,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Mosque
Spiritual Center,Prayer Room,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Prayer Room
Spiritual Center,Shrine,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Shrine
Spiritual Center,Terreiro,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Terreiro
Spiritual Center,Buddhist Temple,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Buddhist Temple
Spiritual Center,Monastery,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Monastery
Spiritual Center,Hindu Temple,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Hindu Temple
Spiritual Center,Temple,root|Professional & Other Places|Spiritual Center,root|Professional & Other Places|Spiritual Center|Temple
Professional & Other Places,Community Center,root|Professional & Other Places,root|Professional & Other Places|Community Center
Professional & Other Places,Factory,root|Professional & Other Places,root|Professional & Other Places|Factory
Professional & Other Places,Event Space,root|Professional & Other Places,root|Professional & Other Places|Event Space
Event Space,Outdoor Event Space,root|Professional & Other Places|Event Space,root|Professional & Other Places|Event Space|Outdoor Event Space
Professional & Other Places,Government Building,root|Professional & Other Places,root|Professional & Other Places|Government Building
Government Building,Embassy / Consulate,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Embassy / Consulate
Government Building,Courthouse,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Courthouse
Government Building,Town Hall,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Town Hall
Government Building,Monument / Landmark,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Monument / Landmark
Government Building,Fire Station,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Fire Station
Government Building,Capitol Building,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Capitol Building
Government Building,City Hall,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|City Hall
Government Building,Police Station,root|Professional & Other Places|Government Building,root|Professional & Other Places|Government Building|Police Station
Professional & Other Places,Winery,root|Professional & Other Places,root|Professional & Other Places|Winery
Professional & Other Places,Distribution Center,root|Professional & Other Places,root|Professional & Other Places|Distribution Center
Professional & Other Places,Auditorium,root|Professional & Other Places,root|Professional & Other Places|Auditorium
Professional & Other Places,Military Base,root|Professional & Other Places,root|Professional & Other Places|Military Base
Professional & Other Places,Office,root|Professional & Other Places,root|Professional & Other Places|Office
Office,Campaign Office,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Campaign Office
Office,Advertising Agency,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Advertising Agency
Office,Corporate Cafeteria,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Corporate Cafeteria
